Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
0.7,11717804,1,11717804.0,11717804.0,11717804,11717804,0.0,PushPop,"{'traceMarker': ['/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:172', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:144', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:319', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:307', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/batchnorm.py:194']}"
0.7,11621460,1,11621460.0,11621460.0,11621460,11621460,0.0,PushPop,"{'mod': 'torch.nn.functional', 'op': 'batch_norm', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 64, 112, 112), 'dtype': 'float16'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'bool', 'value': False}, {'name': '', 'type': 'float', 'value': 0.1}, {'name': '', 'type': 'float', 'value': 1e-05}]}"
0.7,11203313,1,11203313.0,11203313.0,11203313,11203313,0.0,PushPop,"{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 512, 14, 14), 'dtype': 'float16'}, {'name': '', 'type': 'tensor', 'shape': (512, 512, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'NoneType', 'value': None}, {'name': '', 'type': 'tuple', 'value': (2, 2)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}"
0.7,10818384,6,1803064.0,143790.5,126135,9950006,3991881.0,PushPop,"{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 256, 14, 14), 'dtype': 'float16'}, {'name': '', 'type': 'tensor', 'shape': (1024, 256, 1, 1), 'dtype': 'float32'}, {'name': '', 'type': 'NoneType', 'value': None}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (0, 0)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}"
0.7,10692214,1,10692214.0,10692214.0,10692214,10692214,0.0,PushPop,"{'traceMarker': ['/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:172', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:144', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:319', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:307', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/batchnorm.py:194', '/usr/local/lib/python3.12/dist-packages/pyprof/nvtx/nvmarker.py:137', '/usr/local/lib/python3.12/dist-packages/torch/nn/functional.py:2846']}"
0.7,10593517,1,10593517.0,10593517.0,10593517,10593517,0.0,PushPop,"{'mod': 'torch', 'op': 'batch_norm', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 64, 112, 112), 'dtype': 'float16'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'bool', 'value': False}, {'name': '', 'type': 'float', 'value': 0.1}, {'name': '', 'type': 'float', 'value': 1e-05}, {'name': '', 'type': 'bool', 'value': True}]}"
0.6,10254296,2,5127148.0,5127148.0,411941,9842355,6668309.7,PushPop,"{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 512, 7, 7), 'dtype': 'float16'}, {'name': '', 'type': 'tensor', 'shape': (512, 512, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'NoneType', 'value': None}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}"
0.6,10150244,1,10150244.0,10150244.0,10150244,10150244,0.0,PushPop,"{'traceMarker': ['/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:172', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:144', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:321', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:313', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/pooling.py:1510']}"
0.6,10132145,1,10132145.0,10132145.0,10132145,10132145,0.0,PushPop,"{'mod': 'torch.nn.functional', 'op': 'adaptive_avg_pool2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 2048, 7, 7), 'dtype': 'float16'}, {'name': '', 'type': 'int', 'value': 1}]}"
0.5,7874062,3,2624687.3,157839.0,143738,7572485,4284924.3,PushPop,"{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 128, 28, 28), 'dtype': 'float16'}, {'name': '', 'type': 'tensor', 'shape': (128, 128, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'NoneType', 'value': None}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}"
