Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
0.9,18033679,2,9016839.5,9016839.5,103246,17930433,12605724.8,PushPop,"{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 512, 7, 7), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (512, 512, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'NoneType', 'value': None}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}"
0.8,16862634,1,16862634.0,16862634.0,16862634,16862634,0.0,PushPop,"{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 64, 56, 56), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64, 64, 1, 1), 'dtype': 'float32'}, {'name': '', 'type': 'NoneType', 'value': None}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (0, 0)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}"
0.8,16517309,1,16517309.0,16517309.0,16517309,16517309,0.0,PushPop,"{'traceMarker': ['/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:172', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:144', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:319', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:307', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/batchnorm.py:194']}"
0.8,16393055,1,16393055.0,16393055.0,16393055,16393055,0.0,PushPop,"{'mod': 'torch.nn.functional', 'op': 'batch_norm', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 64, 112, 112), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'bool', 'value': False}, {'name': '', 'type': 'float', 'value': 0.1}, {'name': '', 'type': 'float', 'value': 1e-05}]}"
0.7,13910702,3,4636900.7,170078.0,169263,13571361,7737469.6,PushPop,"{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 128, 28, 28), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (128, 128, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'NoneType', 'value': None}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}"
0.7,13890083,1,13890083.0,13890083.0,13890083,13890083,0.0,PushPop,"{'traceMarker': ['/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:172', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:144', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:319', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:307', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/batchnorm.py:194', '/usr/local/lib/python3.12/dist-packages/pyprof/nvtx/nvmarker.py:137', '/usr/local/lib/python3.12/dist-packages/torch/nn/functional.py:2846']}"
0.7,13817103,1,13817103.0,13817103.0,13817103,13817103,0.0,PushPop,"{'mod': 'torch', 'op': 'batch_norm', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 64, 112, 112), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'bool', 'value': False}, {'name': '', 'type': 'float', 'value': 0.1}, {'name': '', 'type': 'float', 'value': 1e-05}, {'name': '', 'type': 'bool', 'value': True}]}"
0.6,12717039,5,2543407.8,131581.0,127106,12184701,5389652.4,PushPop,"{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 256, 14, 14), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (256, 256, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'NoneType', 'value': None}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}"
0.6,12398402,16,774900.1,648026.0,354303,1846030,333434.1,PushPop,"{'traceMarker': ['/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:172', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/classify.py:144', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:320', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/container.py:253', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/container.py:253', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/content/DeepLearningExamples/PyTorch/Classification/ConvNets/image_classification/models/resnet.py:160', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1776', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/module.py:1787', '/usr/local/lib/python3.12/dist-packages/torch/nn/modules/batchnorm.py:194']}"
0.6,12364557,1,12364557.0,12364557.0,12364557,12364557,0.0,PushPop,"{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 128, 56, 56), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (128, 128, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'NoneType', 'value': None}, {'name': '', 'type': 'tuple', 'value': (2, 2)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}"
0.6,11662848,1,11662848.0,11662848.0,11662848,11662848,0.0,PushPop,"{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 512, 28, 28), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (256, 512, 1, 1), 'dtype': 'float32'}, {'name': '', 'type': 'NoneType', 'value': None}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (0, 0)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}"
0.6,11280322,1,11280322.0,11280322.0,11280322,11280322,0.0,PushPop,"{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 256, 56, 56), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (128, 256, 1, 1), 'dtype': 'float32'}, {'name': '', 'type': 'NoneType', 'value': None}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (0, 0)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}"
0.5,10724672,3,3574890.7,86138.0,84170,10554364,6044401.3,PushPop,"{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (1, 512, 7, 7), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (2048, 512, 1, 1), 'dtype': 'float32'}, {'name': '', 'type': 'NoneType', 'value': None}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (0, 0)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}"
